n_neighbors,weights,metric,p,train_accuracy,test_accuracy,test_error,test_f1,test_precision,test_recall,cv_mean,cv_std,overfit_gap
3,distance,euclidean,,1.0,0.78,0.21999999999999997,0.7864077669902912,0.7641509433962265,0.81,0.7784770436730123,0.03707891638534008,0.21999999999999997
3,distance,manhattan,,1.0,0.8,0.19999999999999996,0.803921568627451,0.7884615384615384,0.82,0.7615901455767078,0.034414336913174304,0.19999999999999996
3,distance,minkowski,1.0,1.0,0.8,0.19999999999999996,0.803921568627451,0.7884615384615384,0.82,0.7615901455767078,0.034414336913174304,0.19999999999999996
3,distance,minkowski,1.5,1.0,0.785,0.21499999999999997,0.7902439024390244,0.7714285714285715,0.81,0.7742441209406495,0.039251916493519855,0.21499999999999997
3,distance,minkowski,2.0,1.0,0.78,0.21999999999999997,0.7864077669902912,0.7641509433962265,0.81,0.7784770436730123,0.03707891638534008,0.21999999999999997
3,distance,minkowski,2.5,1.0,0.78,0.21999999999999997,0.7864077669902912,0.7641509433962265,0.81,0.7890481522956326,0.03695574328639051,0.21999999999999997
3,distance,minkowski,3.0,1.0,0.775,0.22499999999999998,0.7804878048780488,0.7619047619047619,0.8,0.786942889137738,0.03340263167087811,0.22499999999999998
5,uniform,euclidean,,0.8396624472573839,0.84,0.16000000000000003,0.8383838383838383,0.8469387755102041,0.83,0.8121612541993279,0.03531252312232724,-0.00033755274261604296
5,uniform,manhattan,,0.8502109704641351,0.83,0.17000000000000004,0.8316831683168316,0.8235294117647058,0.84,0.8058678611422172,0.03456642937590474,0.020210970464135114
5,uniform,minkowski,1.0,0.8502109704641351,0.83,0.17000000000000004,0.8316831683168316,0.8235294117647058,0.84,0.8058678611422172,0.03456642937590474,0.020210970464135114
5,uniform,minkowski,1.5,0.8438818565400844,0.835,0.16500000000000004,0.835820895522388,0.8316831683168316,0.84,0.8100559910414333,0.035032348517910546,0.008881856540084443
5,uniform,minkowski,2.0,0.8396624472573839,0.84,0.16000000000000003,0.8383838383838383,0.8469387755102041,0.83,0.8121612541993279,0.03531252312232724,-0.00033755274261604296
5,uniform,minkowski,2.5,0.8438818565400844,0.84,0.16000000000000003,0.8367346938775511,0.8541666666666666,0.82,0.8121612541993279,0.03654609347857406,0.0038818565400844385
5,uniform,minkowski,3.0,0.8438818565400844,0.83,0.17000000000000004,0.8282828282828283,0.8367346938775511,0.82,0.8100559910414333,0.03864186098675479,0.013881856540084447
5,distance,euclidean,,1.0,0.83,0.17000000000000004,0.83,0.83,0.83,0.7869204927211646,0.03959661114774056,0.17000000000000004
5,distance,manhattan,,1.0,0.825,0.17500000000000004,0.8275862068965517,0.8155339805825242,0.84,0.7890481522956326,0.0369557432863905,0.17500000000000004
5,distance,minkowski,1.0,1.0,0.825,0.17500000000000004,0.8275862068965517,0.8155339805825242,0.84,0.7890481522956326,0.0369557432863905,0.17500000000000004
5,distance,minkowski,1.5,1.0,0.83,0.17000000000000004,0.8316831683168316,0.8235294117647058,0.84,0.7890257558790593,0.043154355562745585,0.17000000000000004
5,distance,minkowski,2.0,1.0,0.83,0.17000000000000004,0.83,0.83,0.83,0.7869204927211646,0.03959661114774056,0.17000000000000004
5,distance,minkowski,2.5,1.0,0.82,0.18000000000000005,0.82,0.82,0.82,0.7869204927211646,0.03959661114774056,0.18000000000000005
5,distance,minkowski,3.0,1.0,0.815,0.18500000000000005,0.8159203980099502,0.8118811881188119,0.82,0.7869204927211646,0.043337523254849186,0.18500000000000005
